Year,Make,Model/Grade,Price (JA$),URL
2020,Toyota,"Land Cruiser 2,7L","JA$9,890,000",https://www.jacars.net/adv/2501464_toyota-land-cruiser-2-7l-2020/
2020,Toyota,"Probox 1,5L","JA$1,950,000",https://www.jacars.net/adv/2499560_toyota-probox-1-5l-2020/
2016,Toyota,"Voxy 2,0L","JA$2,999,999",https://www.jacars.net/adv/2501288_toyota-voxy-2-0l-2016/
2017,Toyota,"Voxy 2,0L","JA$3,299,999",https://www.jacars.net/adv/2501287_toyota-voxy-2-0l-2017/
2020,Toyota,"Probox 1,3L","JA$1,900,000",https://www.jacars.net/adv/2498809_toyota-probox-1-3l-2020/
2015,Toyota,"Vellfire 2,5L","JA$4,590,000",https://www.jacars.net/adv/2461763_toyota-vellfire-2-5l-2015/
2018,Toyota,"C-HR 1,8L","JA$3,490,000",https://www.jacars.net/adv/2471905_toyota-c-hr-1-8l-2018/
2020,Toyota,"Regius 2,8L","JA$4,590,000",https://www.jacars.net/adv/2493226_toyota-regius-2-8l-2020/
2016,Toyota,"Mark X 2,5L","JA$3,590,000",https://www.jacars.net/adv/2497512_toyota-mark-x-2-5l-2016/
2019,Toyota,"Voxy 2,0L","JA$4,290,000",https://www.jacars.net/adv/2489125_toyota-voxy-2-0l-2019/
2016,Toyota,"Voxy 2,0L","JA$3,290,000",https://www.jacars.net/adv/2487890_toyota-voxy-2-0l-2016/
2018,Toyota,"Premio 1,8L","JA$2,200,000",https://www.jacars.net/adv/2501084_toyota-premio-1-8l-2018/
2019,Toyota,"C-HR 1,8L","JA$3,400,000",https://www.jacars.net/adv/2501033_toyota-c-hr-1-8l-2019/
2018,Toyota,"RAV4 1,9L","JA$2,500,000",https://www.jacars.net/adv/2502346_toyota-rav4-1-9l-2018/
2019,Toyota,"Voxy 2,0L","JA$3,980,000",https://www.jacars.net/adv/2497449_toyota-voxy-2-0l-2019/
2016,Toyota,"Esquire 2,0L","JA$2,900,000",https://www.jacars.net/adv/2502323_toyota-esquire-2-0l-2016/
2018,Toyota,"Corolla 1,6L","JA$1,690,000",https://www.jacars.net/adv/2502299_toyota-corolla-1-6l-2018/
2023,Toyota,"Harrier 2,0L","JA$7,700,000",https://www.jacars.net/adv/2478983_toyota-harrier-2-0l-2023/
2019,Toyota,"Vellfire 2,5L","JA$5,750,000",https://www.jacars.net/adv/2478989_toyota-vellfire-2-5l-2019/
2019,Toyota,"Esquire 2,0L","JA$4,600,000",https://www.jacars.net/adv/2501513_2019-toyota-esquire-gi-premium-package/
2016,Toyota,"Noah 2,0L","JA$2,799,999",https://www.jacars.net/adv/2502274_toyota-noah-2-0l-2016/
2019,Toyota,"Passo 1,0L","JA$1,600,000",https://www.jacars.net/adv/2491235_toyota-passo-1-0l-2019/
2020,Toyota,"Allion 1,8L","JA$3,100,000",https://www.jacars.net/adv/2489799_toyota-allion-1-8l-2020/
2020,Toyota,"Crown 2,0L","JA$5,480,000",https://www.jacars.net/adv/2502269_toyota-crown-2-0l-2020/
2020,Toyota,"Corolla 1,8L","JA$2,890,000",https://www.jacars.net/adv/2502266_toyota-corolla-1-8l-2020/
2021,Toyota,"Harrier 2,0L","JA$5,520,000",https://www.jacars.net/adv/2434377_toyota-harrier-2-0l-2021/
2017,Toyota,"Axio 1,6L","JA$1,700,000",https://www.jacars.net/adv/2502217_toyota-axio-1-6l-2017/
2020,Toyota,"Probox 1,5L","JA$1,980,000",https://www.jacars.net/adv/2502213_toyota-probox-1-5l-2020/
2012,Toyota,"Isis 1,7L",Call for price,https://www.jacars.net/adv/2502209_toyota-isis-1-7l-2012/
2020,Toyota,"Axio 1,5L","JA$2,300,000",https://www.jacars.net/adv/2493363_toyota-axio-1-5l-2020/
2012,Toyota,"Mark X ZiO 2,4L","JA$1,130,000",https://www.jacars.net/adv/2502172_toyota-mark-x-zio-2-4l-2012/
2015,Toyota,"Isis 2,0L","JA$1,600,000",https://www.jacars.net/adv/2500517_toyota-isis-2-0l-2015/
2017,Toyota,"Noah 2,0L","JA$2,500,000",https://www.jacars.net/adv/2499640_toyota-noah-2-0l-2017/
2016,Toyota,"Isis 2,0L","JA$1,600,000",https://www.jacars.net/adv/2499600_toyota-isis-2-0l-2016/
2016,Toyota,"Fielder 1,8L","JA$1,500,000",https://www.jacars.net/adv/2500540_toyota-fielder-2-0l-2016/
2020,Toyota,"Probox 1,3L",Negotiable,https://www.jacars.net/adv/2493586_toyota-probox-1-3l-2020/
2016,Toyota,"Voxy 2,0L","JA$3,000,000",https://www.jacars.net/adv/2500403_newly-import-2016-voxy/
2000,Toyota,"Prado 3,4L","JA$2,900,000",https://www.jacars.net/adv/2495692_toyota-prado-4-7l-2000/
2016,Toyota,"Succeed 1,5L",Call for price,https://www.jacars.net/adv/2466458_toyota-succeed-1-5l-2016/
2019,Toyota,"Mark X 2,5L",Call for price,https://www.jacars.net/adv/2466445_toyota-mark-x-2-5l-2019/
2020,Toyota,"Corolla 1,5L","JA$2,849,000",https://www.jacars.net/adv/2500553_toyota-corolla-1-5l-2020/
2015,Toyota,"Wish 1,8L","JA$2,350,000",https://www.jacars.net/adv/2500353_toyota-wish-1-8l-2015/
2013,Toyota,"Camry 2,5L","JA$850,000",https://www.jacars.net/adv/2502148_toyota-camry-2-5l-2013/
2016,Toyota,"Aqua 1,5L","JA$1,180,000",https://www.jacars.net/adv/2502126_toyota-aqua-1-5l-2016/
2023,Toyota,"Prado 2,8L","JA$11,499,000",https://www.jacars.net/adv/2469949_toyota-prado-2-8l-2023/
2022,Toyota,"Raize 1,5L","JA$4,100,000",https://www.jacars.net/adv/2497326_toyota-raize-1-5l-2022/
2023,Toyota,"Alphard 2,5L","JA$9,350,000",https://www.jacars.net/adv/2480888_toyota-alphard-2-5l-2023/
2016,Toyota,"Noah 2,0L","JA$2,870,000",https://www.jacars.net/adv/2499402_toyota-noah-2-0l-2016/
2022,Toyota,"RAV4 2,4L","JA$6,500,000",https://www.jacars.net/adv/2499658_toyota-rav4-2-4l-2022/
2020,Toyota,"Probox 1,5L","JA$1,850,000",https://www.jacars.net/adv/2502050_toyota-probox-1-5l-2020/
2019,Toyota,"Rush 2,0L","JA$2,690,000",https://www.jacars.net/adv/2502048_toyota-rush-2-0l-2019/
2016,Toyota,"Voxy 2,0L","JA$3,290,000",https://www.jacars.net/adv/2501059_toyota-voxy-2-0l-2016/
2018,Toyota,"C-HR 2,0L","JA$2,900,000",https://www.jacars.net/adv/2484193_toyota-c-hr-2-0l-2018/
2012,Toyota,"Vanguard 2,0L","JA$2,500,000",https://www.jacars.net/adv/2500001_toyota-vanguard-2-0l-2012/
2016,Toyota,"Noah 2,0L","JA$3,200,000",https://www.jacars.net/adv/2502003_toyota-noah-2-0l-2016/
2015,Toyota,"Axio 1,5L","JA$1,980,000",https://www.jacars.net/adv/2453853_honda-grace-1-5l-2018/
2017,Toyota,"Fielder 1,5L","JA$2,450,000",https://www.jacars.net/adv/2501986_toyota-fielder-1-5l-2017/
2012,Toyota,"Noah 2,0L","JA$1,850,000",https://www.jacars.net/adv/2500874_toyota-noah-2-0l-2012/
2010,Toyota,"Mark X 2,5L","JA$1,670,000",https://www.jacars.net/adv/2501956_toyota-mark-x-2-5l-2010/
2013,Toyota,"Vellfire 2,4L","JA$2,850,000",https://www.jacars.net/adv/2501958_toyota-vellfire-2-4l-2013/
2026,Toyota,"Tacoma 2,4L","JA$19,700,000",https://www.jacars.net/adv/2499601_toyota-tacoma-2-4l-2025/
2020,Toyota,"Yaris 1,0L","JA$2,150,000",https://www.jacars.net/adv/2501925_toyota-yaris-1-0l-2020/
2017,Toyota,"Axio 1,5L","JA$1,580,000",https://www.jacars.net/adv/2497739_toyota-axio-1-5l-2017/
2015,Toyota,"Crown Athlete 2,5L","JA$3,195,000",https://www.jacars.net/adv/2479169_toyota-crown-athlete-2-5l-2015/
2023,Toyota,"RAV4 2,0L",Call for price,https://www.jacars.net/adv/2486106_toyota-rav4-2-0l-2023/
2015,Toyota,"Wish 1,8L",Call for price,https://www.jacars.net/adv/2501894_toyota-wish-1-8l-2015/
2015,Toyota,"Wish 1,8L",Call for price,https://www.jacars.net/adv/2501891_toyota-wish-1-8l-2015/
2020,Toyota,"Hiace 2,8L","JA$4,500,000",https://www.jacars.net/adv/2501883_toyota-hiace-2-8l-2020/
2023,Toyota,"Raize 1,2L","JA$4,300,000",https://www.jacars.net/adv/2501880_toyota-raize-1-2l-2023/
2015,Toyota,"Mark X 2,5L",Call for price,https://www.jacars.net/adv/2501867_toyota-mark-x-2-5l-2015/
2016,Toyota,"Mark X 2,5L",Call for price,https://www.jacars.net/adv/2499082_toyota-mark-x-2-5l-2016/
2021,Toyota,"Yaris 1,0L","JA$2,290,000",https://www.jacars.net/adv/2497477_toyota-yaris-1-0l-2021/
2024,Toyota,"RAV4 2,0L","JA$7,500,000",https://www.jacars.net/adv/2471394_toyota-rav4-2-0l-2024/
2016,Toyota,"Voxy 2,0L","JA$3,280,000",https://www.jacars.net/adv/2494771_toyota-voxy-2-0l-2016/
2016,Toyota,"Isis 1,8L","JA$2,100,000",https://www.jacars.net/adv/2501847_toyota-isis-1-8l-2016/
2018,Toyota,"Mark X 2,5L","JA$3,000,000",https://www.jacars.net/adv/2501829_toyota-mark-x-2-5l-2018/
2017,Toyota,"Mark X 2,5L","JA$3,850,000",https://www.jacars.net/adv/2486739_toyota-mark-x-2-5l-2017/
2015,Toyota,"Voxy 2,0L","JA$2,850,000",https://www.jacars.net/adv/2501811_toyota-voxy-2-0l-2015/
2017,Toyota,"Esquire 1,9L","JA$2,970,000",https://www.jacars.net/adv/2501799_toyota-esquire-1-9l-2017/
2017,Toyota,"Axio 1,5L","JA$1,750,000",https://www.jacars.net/adv/2491360_toyota-axio-1-5l-2017/
2019,Toyota,"Allion 1,8L","JA$2,890,000",https://www.jacars.net/adv/2467212_toyota-allion-1-8l-2019/
2018,Toyota,"Voxy 2,0L","JA$3,800,000",https://www.jacars.net/adv/2470171_toyota-voxy-2-0l-2018/
2016,Toyota,"Voxy 1,9L","JA$2,860,000",https://www.jacars.net/adv/2466834_toyota-voxy-1-9l-2016/
2016,Toyota,"Noah 2,0L","JA$3,200,000",https://www.jacars.net/adv/2500676_toyota-noah-2-0l-2016/
2015,Toyota,"Esquire 2,0L","JA$2,750,000",https://www.jacars.net/adv/2500675_toyota-esquire-2-0l-2015/
2016,Toyota,"Esquire 2,0L","JA$2,750,000",https://www.jacars.net/adv/2500575_toyota-esquire-2-0l-2016/
2015,Toyota,"Voxy 2,0L","JA$2,850,000",https://www.jacars.net/adv/2488547_toyota-voxy-2-0l-2015/
2018,Toyota,"Voxy 2,0L",Call for price,https://www.jacars.net/adv/2501752_toyota-voxy-2-0l-2018/
2019,Toyota,"Fielder 1,5L","JA$1,900,000",https://www.jacars.net/adv/2501748_toyota-fielder-1-5l-2019/
2019,Toyota,"Mark X 2,5L","JA$3,400,000",https://www.jacars.net/adv/2483023_toyota-mark-x-2-5l-2019/
2009,Toyota,"Belta 1,3L","JA$750,000",https://www.jacars.net/adv/2501702_toyota-belta-3-4l-2009/
2019,Toyota,"GT86 2,0L","JA$3,550,000",https://www.jacars.net/adv/2469641_toyota-gt86-2-0l-2019/
2016,Toyota,"Esquire 1,8L","JA$2,680,000",https://www.jacars.net/adv/2499487_toyota-esquire-1-8l-2016/
2024,Toyota,"Harrier 2,5L","JA$7,800,000",https://www.jacars.net/adv/2478969_toyota-harrier-2-5l-2024/
2014,Toyota,"Vitz 1,4L",Negotiable,https://www.jacars.net/adv/2501639_toyota-vitz-1-4l-2014/
2023,Toyota,"Corolla Cross 1,8L","JA$5,200,000",https://www.jacars.net/adv/2485203_toyota-corolla-cross-2-0l-2023/
2017,Toyota,"Allion 2,0L","JA$2,950,000",https://www.jacars.net/adv/2485505_toyota-allion-2-0l-2017/
2020,Toyota,"Crown 2,0L","JA$5,950,000",https://www.jacars.net/adv/2498570_toyota-crown-2-0l-2020/
2024,Toyota,"Harrier 2,0L","JA$7,850,000",https://www.jacars.net/adv/2469944_toyota-harrier-2-0l-2024/
2020,Toyota,"Corolla 1,8L","JA$3,390,000",https://www.jacars.net/adv/2480680_toyota-corolla-1-8l-2020/
2020,Toyota,"Fielder 1,5L","JA$2,250,000",https://www.jacars.net/adv/2499780_toyota-fielder-1-5l-2020/
2019,Toyota,"Probox 1,5L","JA$1,720,000",https://www.jacars.net/adv/2501544_toyota-probox-1-3l-2019/
2019,Toyota,"Corolla Touring 1,8L","JA$2,200,000",https://www.jacars.net/adv/2501542_toyota-corolla-touring-1-8l-2019/
2016,Toyota,"Vitz 1,3L","JA$1,350,000",https://www.jacars.net/adv/2501535_toyota-vitz-1-3l-2016/
2014,Toyota,"Mark X 3,5L","JA$2,390,000",https://www.jacars.net/adv/2495196_toyota-mark-x-3-5l-2013/
2022,Toyota,"Yaris 1,0L",Call for price,https://www.jacars.net/adv/2501491_toyota-yaris-1-0l-2022/
2021,Toyota,"Yaris Cross 1,5L","JA$3,900,000",https://www.jacars.net/adv/2490937_toyota-yaris-cross-1-5l-2021/
2021,Toyota,"Raize 1,0L",Negotiable,https://www.jacars.net/adv/2457899_toyota-raize-1-0l-2021/
2018,Toyota,"Vitz 1,5L","JA$1,749,000",https://www.jacars.net/adv/2451273_toyota-vitz-1-5l-2018/
2020,Toyota,"Yaris 1,0L",Negotiable,https://www.jacars.net/adv/2497455_toyota-yaris-1-0l-2020/
2015,Toyota,"Hiace 2,0L","JA$3,150,000",https://www.jacars.net/adv/2501352_toyota-hiace-2-0l-2015/
2015,Toyota,"Wish 1,8L","JA$2,250,000",https://www.jacars.net/adv/2501261_toyota-wish-1-8l-2015/
2020,Toyota,"Corolla Touring 1,8L",Call for price,https://www.jacars.net/adv/2500950_toyota-corolla-touring-1-8l-2020/
2022,Toyota,"Yaris 1,3L","JA$2,400,000",https://www.jacars.net/adv/2495943_toyota-yaris-1-3l-2022/
2025,Toyota,"Land Cruiser Prado 2,8L","JA$16,900,000",https://www.jacars.net/adv/2498520_toyota-land-cruiser-prado-2-8l-2025/
2020,Toyota,"Corolla Touring 1,8L","JA$2,950,000",https://www.jacars.net/adv/2501165_toyota-corolla-touring-1-8l-2020/
2019,Toyota,"Vitz 1,0L","JA$1,899,999",https://www.jacars.net/adv/2498497_toyota-vitz-1-0l-2019/
2019,Toyota,"Aqua 1,5L","JA$1,750,000",https://www.jacars.net/adv/2485116_toyota-aqua-1-5l-2019/
2023,Toyota,"Raize 1,2L","JA$4,400,000",https://www.jacars.net/adv/2473038_toyota-raize-1-2l-2022/
2020,Toyota,"Corolla 1,5L","JA$2,690,000",https://www.jacars.net/adv/2501045_toyota-corolla-1-5l-2020/
2022,Toyota,"Prado 2,8L","JA$10,300,000",https://www.jacars.net/adv/2498574_2022-toyota-land-cruiser-prado-tx-l/
2020,Toyota,"RAV4 2,0L","JA$5,850,000",https://www.jacars.net/adv/2498627_toyota-rav4-2-0l-2020/
2015,Toyota,"Premio 1,5L","JA$1,850,000",https://www.jacars.net/adv/2501051_toyota-premio-1-5l-2015/
2017,Toyota,"Noah 1,9L","JA$2,890,000",https://www.jacars.net/adv/2446625_toyota-noah-1-9l-2015/
2019,Toyota,"Aqua 1,5L","JA$1,890,000",https://www.jacars.net/adv/2501008_toyota-aqua-1-5l-2019/
2020,Toyota,"Fortuner 2,7L","JA$6,300,000",https://www.jacars.net/adv/2500960_toyota-fortuner-2-7l-2020/
2018,Toyota,"Axio 1,5L","JA$2,300,000",https://www.jacars.net/adv/2499670_toyota-axio-1-5l-2018/
2019,Toyota,"C-HR 1,5L",Call for price,https://www.jacars.net/adv/2486599_toyota-c-hr-1-5l-2019/
2022,Toyota,"Yaris Cross 1,5L",Call for price,https://www.jacars.net/adv/2489401_toyota-yaris-cross-1-5l-2022/
2016,Toyota,"Mark X 2,4L","JA$2,600,000",https://www.jacars.net/adv/2500028_toyota-mark-x-2-4l-2016/
2015,Toyota,"Estima 2,4L",Call for price,https://www.jacars.net/adv/2500786_toyota-estima-2-4l-2015/
2016,Toyota,"Fielder 1,5L","JA$2,290,000",https://www.jacars.net/adv/2500753_toyota-fielder-1-5l-2016/
2017,Toyota,"Allion 1,8L","JA$3,200,000",https://www.jacars.net/adv/2496145_toyota-allion-1-8l-2017/
2019,Toyota,"Rush 1,5L","JA$2,950,000",https://www.jacars.net/adv/2495880_toyota-rush-1-8l-2019/
2019,Toyota,"Crown 2,5L","JA$5,490,000",https://www.jacars.net/adv/2500405_toyota-crown-2-5l-2019/
2019,Toyota,"Probox 1,5L","JA$1,890,000",https://www.jacars.net/adv/2491315_toyota-probox-1-5l-2019/
2016,Toyota,"Allion 1,8L","JA$2,290,000",https://www.jacars.net/adv/2493532_toyota-allion-1-8l-2016/
2015,Toyota,"Corolla 1,6L","JA$1,680,000",https://www.jacars.net/adv/2497941_toyota-corolla-1-6l-2015/
2019,Toyota,"Corolla 1,8L","JA$4,150,000",https://www.jacars.net/adv/2500694_toyota-corolla-1-8l-2019/
2020,Toyota,"C-HR 1,5L","JA$3,649,999",https://www.jacars.net/adv/2481306_toyota-c-hr-1-5l-2020/
2019,Toyota,"C-HR 1,5L","JA$3,349,000",https://www.jacars.net/adv/2470704_toyota-c-hr-1-5l-2019/
2022,Toyota,"RAV4 2,5L","JA$5,300,000",https://www.jacars.net/adv/2500615_toyota-rav4-2-5l-2022/
2012,Toyota,"Camry 2,5L","JA$1,900,000",https://www.jacars.net/adv/2500527_toyota-camry-2-5l-2012/
2025,Toyota,"Hilux 2,4L","JA$11,500,000",https://www.jacars.net/adv/2500377_toyota-hilux/
2019,Toyota,"C-HR 1,5L","JA$3,690,000",https://www.jacars.net/adv/2494878_toyota-c-hr-1-5l-2019/
2013,Toyota,"Mark X 2,5L","JA$2,100,000",https://www.jacars.net/adv/2498007_toyota-mark-x-2-5l-2013/
2018,Toyota,"Premio 2,0L","JA$2,990,000",https://www.jacars.net/adv/2465588_toyota-premio-2-9l-2018/
2020,Toyota,"Hiace 2,0L","JA$5,300,000",https://www.jacars.net/adv/2500461_toyota-hiace-2-0l-2020/
2019,Toyota,"Prado 4,0L","JA$7,200,000",https://www.jacars.net/adv/2496446_white-prado-2019/
2019,Toyota,"Camry 2,5L","JA$2,990,000",https://www.jacars.net/adv/2496288_toyota-camry-2-5l-2019/
2015,Toyota,"Mark X 2,5L","JA$3,050,000",https://www.jacars.net/adv/2500389_toyota-mark-x-2-5l-2015/
2018,Toyota,"Fortuner 2,7L","JA$5,200,000",https://www.jacars.net/adv/2500369_toyota-fortuner-2-7l-2018/
2015,Toyota,"Isis 1,8L","JA$2,100,000",https://www.jacars.net/adv/2500338_toyota-isis-1-8l-2015/
2019,Toyota,"Corolla 1,3L","JA$2,430,000",https://www.jacars.net/adv/2464171_toyota-corolla-1-5l-2019/
2022,Toyota,"Aqua 1,5L","JA$2,450,000",https://www.jacars.net/adv/2499197_toyota-aqua-1-5l-2022/
2017,Toyota,"Noah 2,0L","JA$3,650,000",https://www.jacars.net/adv/2500216_toyota-noah-2-0l-2017/
2021,Toyota,"Yaris Cross 1,5L","JA$4,250,000",https://www.jacars.net/adv/2493410_toyota-yaris-cross-1-5l-2021/
2019,Toyota,"Crown 2,5L","JA$3,890,000",https://www.jacars.net/adv/2500155_toyota-crown-2-5l-2019/
2020,Toyota,"Axio 1,5L","JA$2,450,000",https://www.jacars.net/adv/2498714_toyota-axio-1-5l-2020/
2019,Toyota,"Camry 2,5L","JA$3,750,000",https://www.jacars.net/adv/2492910_toyota-camry-2-5l-2019/
2015,Toyota,"Wish 2,0L","JA$2,350,000",https://www.jacars.net/adv/2494737_toyota-wish-2-0l-2015/
2019,Toyota,"Mark X 2,5L","JA$3,750,000",https://www.jacars.net/adv/2488025_toyota-mark-x-2-5l-2019/
2022,Toyota,"Hilux 2,4L","JA$7,900,000",https://www.jacars.net/adv/2465744_toyota-hilux-2-4l-2022/
2023,Toyota,"Hilux 2,4L","JA$8,400,000",https://www.jacars.net/adv/2465951_toyota-hilux-2-4l-2023/
2019,Toyota,"Vellfire 2,5L","JA$5,850,000",https://www.jacars.net/adv/2486948_toyota-vellfire-2-5l-2019/
2021,Toyota,"Corolla 1,8L","JA$3,450,000",https://www.jacars.net/adv/2496294_toyota-corolla-1-8l-2021/
2019,Toyota,"RAV4 2,4L","JA$4,850,000",https://www.jacars.net/adv/2499065_toyota-rav4-2-4l-2019/
2017,Toyota,"Crown 2,0L","JA$4,100,000",https://www.jacars.net/adv/2499991_toyota-crown-2-0l-2017/
2019,Toyota,"Crown 3,5L","JA$4,600,000",https://www.jacars.net/adv/2499988_toyota-crown-3-5l-2019/
2018,Toyota,"C-HR 1,8L","JA$3,600,000",https://www.jacars.net/adv/2496086_toyota-c-hr-1-8l-2018/
2018,Toyota,"Mark X 2,5L","JA$3,800,000",https://www.jacars.net/adv/2499892_toyota-mark-x-2-5l-2018/
2022,Toyota,"Hilux 2,8L","JA$9,100,000",https://www.jacars.net/adv/2499878_toyota-hilux-2-8l-2022/
2021,Toyota,"Yaris 1,5L","JA$3,550,000",https://www.jacars.net/adv/2496621_toyota-yaris-1-5l-2021/
2020,Toyota,"Yaris 1,0L","JA$2,200,000",https://www.jacars.net/adv/2499801_toyota-yaris-1-0l-2020/
2016,Toyota,"Wish 1,8L","JA$2,600,000",https://www.jacars.net/adv/2499747_toyota-wish-1-8l-2016/
2016,Toyota,"Corolla XLi 1,6L","JA$2,000,000",https://www.jacars.net/adv/2499297_toyota-corolla-xli-1-6l-2016/
2013,Toyota,"Probox 1,3L","JA$950,000",https://www.jacars.net/adv/2499681_toyota-probox-1-3l-2013/
2017,Toyota,"Axio 1,5L","JA$2,230,000",https://www.jacars.net/adv/2499669_toyota-axio-1-5l-2017/
2017,Toyota,"Noah 2,0L",Call for price,https://www.jacars.net/adv/2499597_toyota-noah-2-0l-2017/
2026,Toyota,"Hilux 2,8L",Call for price,https://www.jacars.net/adv/2499579_toyota-hilux-2-8l-2025/
2026,Toyota,"Hilux 2,8L",Call for price,https://www.jacars.net/adv/2499578_toyota-hilux-2-8l-2025/
2026,Toyota,"Hilux 2,8L",Call for price,https://www.jacars.net/adv/2499575_toyota-hilux-2-8l-2025/
